gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
DNAJC3-AS1	3.825615239	4.226347114	2.065817973	3.191177559	3.299486379	3.855817561	4.006212466	3.992033084	3.052682452	3.154487012
RAB1B	49.6997627	78.10514688	54.19932202	68.01894792	51.86998166	49.48478338	71.70312587	67.32156661	57.33418588	50.1633887
RUFY3	25.36067676	26.7551258	16.08307614	24.17794373	27.88942671	24.47356374	28.29269048	23.95211277	25.90726727	23.49753266
TCEANC	1.442499681	1.810930092	0.717986571	1.787863874	1.363680086	1.032306545	1.871740547	2.243877784	1.531644075	1.607267525
FCER1G	0.989968645	3.583925552	1.064572062	0.410672069	2.086064596	1.646138644	2.545771541	0.843991609	0.736338612	3.138750655
LEPR	0.756936188	0.992557221	0.688454145	1.169046696	0.906917935	0.910761976	1.068678094	0.752903466	1.207659199	0.883401824
BEND5	1.717560516	3.7913725	1.15240879	3.497335143	3.360532567	2.355301414	4.910246191	1.33559142	3.11818826	2.967667642
ZNF768	7.334955808	8.825463762	9.922627287	9.124438121	8.834675798	7.460288164	8.704953889	10.8607312	8.418192856	8.074960205
CTRC	18.63330862	1.585123783	3.152241341	0.27471475	2.73850693	16.4544364	1.468596429	1.617209213	0.319597159	3.764417611
MIR3142HG	2.360547244	0.597372889	0.403282074	0.464490958	1.118952902	1.69682559	0.620485718	1.513812285	0.966993404	0.790205621
DPF2	4.47444048	5.070962689	4.150320398	5.493693936	4.573667357	4.412776398	5.140754439	5.218148898	4.299079563	4.180617175
ORAI1	3.473699713	2.257102848	3.415259372	2.88477659	2.671623832	2.892147523	2.494231251	3.562073243	2.591619668	2.651754356
HNRNPD	25.42610563	23.83143451	10.6635692	19.00582694	22.12904677	25.7195387	23.26867799	13.84384313	18.87157248	23.11838375
PCDHB7	1.000854326	1.490743273	0.541902251	1.557887537	0.728627408	0.937168394	1.827682042	0.803201736	1.70373005	0.615790802
SMIM12	3.877975887	3.907383257	2.339654619	3.928120284	4.407711061	4.088912321	4.075639702	3.461485883	3.664933248	4.140635972
LOC101929633	2.004954197	0.694493184	3.158858518	1.326334064	1.429883178	0.550885242	1.221664286	2.862102518	1.248517504	1.62616295
AK9	2.297517227	2.520714671	1.29077534	2.624986708	2.173367948	2.346137856	2.688386297	1.506703536	2.567856871	1.573996543
BTN3A2	2.973197402	2.998372572	0.983976107	1.753567992	3.095020483	2.857477155	3.092192785	1.710749646	1.739660443	2.975028059
IKBKG	2.285497305	2.048182509	1.635508233	2.45422623	2.114943947	2.634255275	2.621502668	1.616396634	2.237755973	2.318814827
MIR17HG	4.032039104	1.490154657	1.109438925	1.25111241	2.163180661	3.871670115	1.430994075	2.740587904	1.868650207	1.310699032
SESN3	4.962453394	9.009814183	16.94220302	11.13883836	6.302124168	4.714393021	8.485007458	19.38651753	10.2153582	6.367851326
TES	39.71974969	14.36553949	27.7470858	11.63449095	24.6840172	38.20197447	14.41232132	24.3988443	13.1349132	23.89240052
TNFSF13B	1.053058686	0.738117714	0.75523272	0.76775451	0.585599134	0.822472716	0.595101386	0.838407811	1.148868419	0.301612582
SF3A2	22.51810957	16.58174681	14.62938297	20.99986506	17.74395851	22.58870338	16.90639815	16.03638055	21.90267245	20.26685853
ZNF469	1.873886183	1.860732477	2.265013405	3.563536914	2.21764751	2.057553529	1.7010695	1.629747761	6.112787075	2.736523017
GPR27	1.960195478	4.371459806	0.814947996	4.595536057	3.094275319	2.646771615	5.239354854	0.790463896	4.107433574	3.158676175
ARAP1	18.427478	24.41442348	7.972957698	22.10201952	16.9434881	17.78408	21.69662045	11.27363214	17.26588523	15.92387012
MTIF2	9.805265926	12.83323708	4.915768131	11.25650114	13.67855417	10.79620568	12.88269259	6.325223528	11.45521906	12.91270081
CEP135	2.021533952	1.143366043	1.003672123	1.576792405	1.545022733	1.972864969	1.271396924	1.51814717	1.5336023	1.454474851
IGIP	3.901710382	3.399490899	1.367787673	5.072450872	3.136434371	2.79107753	3.088144916	2.593084103	3.740977865	3.116808757
TMEM125	3.66236044	5.112886968	1.966142645	2.207171142	3.526652691	4.028748563	4.217773879	2.302741684	2.719866125	4.152665069
C7orf13	1.862834932	2.115233442	1.021843018	2.886629173	2.746831568	1.974466327	2.098941179	3.329740945	2.696509142	2.123687766
IPO4	12.24902636	9.470181291	7.386338088	8.174169701	9.413894808	11.79194987	9.395428078	7.042804808	8.309903376	9.477632572
AMH	1.845315006	1.002231069	0.968766569	1.595039901	1.086042523	1.911185205	1.166427788	0.394531143	1.894401882	0.711131631
KIAA0319	4.23408117	4.761465282	3.498356346	6.535706369	5.498661967	4.800743861	4.714888195	6.422049989	6.55427103	4.147657443
SOAT1	13.39073787	13.56627041	6.3917049	11.90341168	12.5345783	12.88709887	12.36005613	8.401162337	10.5014689	11.53437964
SERPINA1	200.383641	358.4105026	539.1247739	340.0997165	115.9942299	208.3864257	343.0135619	541.8887652	295.7621512	121.7036721
GAREM2	0.794943635	1.078208864	0.76584843	1.695955777	0.766969403	0.867498766	1.140316108	1.01930254	1.668433849	0.799069489
CRNKL1	15.12243074	15.63692903	6.227476553	15.61480099	14.24034723	14.30437915	14.75403851	9.900601346	16.08845161	13.95458064
ARHGAP27	1.55206997	0.62631461	0.983573106	1.072138681	1.97537442	1.709869823	0.510559283	0.958001286	1.142871374	1.709858564
FKBP2	17.91929815	23.11196103	20.76087802	20.55993843	16.49284859	18.37821069	24.53133935	17.03908193	18.86600622	17.39900172
MARCH5	10.28926537	7.098466802	17.98048693	8.824323688	9.485206943	10.17306974	7.493525983	18.13962964	8.487582231	8.891759836
ZNF317	10.81574065	9.307499087	6.845005721	8.635853115	10.60693919	9.975099084	8.272696482	10.29120385	8.729608783	12.16809616
HIST1H2AG	2.68244283	1.13407124	1.082150691	2.790594486	1.247814086	1.208648917	1.002572277	1.28174077	2.775380544	1.829096438
PPM1L	4.744788209	7.33697679	3.047123244	6.301059933	4.25646553	4.598136992	6.201081607	4.468811516	6.027667325	3.362986688
P4HA3	0.487450731	0.731461856	2.464450515	1.391762516	0.463835489	0.550124561	0.921337077	1.019381098	1.658849318	0.490173958
ARSD	6.069893956	7.567655122	1.585315737	5.60592536	5.237777399	6.093726455	7.694471525	3.075606777	5.41865783	4.519644159
TRIM8	42.11987426	36.53436425	57.54421371	39.60063519	28.60503662	43.54007079	39.15079171	49.16013025	37.09409402	29.20095509
RRAGD	12.6206449	23.47435648	15.4432705	19.74074343	26.81443356	13.20641485	23.58957181	17.91719868	19.53569187	29.3840703
PCDHB3	1.193891822	2.181886793	0.960593491	2.949254458	1.438892029	1.262075791	2.222598531	1.582667524	3.07194279	1.31364867
GPR149	0.84065039	0.169205972	0.159921602	1.55918605	0.403382762	0.420547869	0.218273495	0.303183142	1.419544841	0.459228953
DNAJB1	42.83083911	56.66289143	45.69936544	37.66323584	101.6701862	51.57487674	63.37878063	32.52520445	46.83613426	130.560108
EFNA4	1.904145409	0.514250414	1.877856229	0.996989198	1.604217624	1.911835785	0.877191831	0.781822389	0.967783624	1.393199754
GCNT1	5.223130727	10.05283187	2.348021796	9.019010004	8.571879443	5.094294783	9.540341497	4.459602826	9.125251335	7.701152208
OXCT1	4.765176098	6.213917034	2.337854876	4.12032636	6.636779348	5.299355897	5.661051033	3.672060657	4.721800347	5.563039912
